id,name,description,designer_page_description,featured,featured_description,designer_page_image,website,designer_url,shipping_handling,return_policy,read_more,logo,active,activate_date,deactivate_date,slug,shipping_method
16,Nettie Kent,"Raised by a painter and a librarian, Kent’s bohemian upbringing nurtured her creative spirit and abilities - she could hold a paint brush before she could talk. After studying mural painting in Mexico and fresco painting in Italy, Nettie made the move to New York City to pursue her love of art. She found herself moving beyond the two dimensional and towards an interest in metal work and sculpture. Kent’s organic forms, unique designs and her ethical approach to jewelry making emphasizes sustainable design and sourcing recycled materials. Summers on the beach and winters in Brooklyn influence all of Nettie's designs, a mix of organic shapes cast in rough golden metals juxtaposed with soft leathers. ",Ethereal Handcrafted Jewelry from Recycled Materials in NYC  ,False,,,http://www.nettiekent.com/,,"<p><b>FREE Shipping on orders over $100 to the USA and Canada!</b></p>
<p>We offer fast and free shipping anywhere in the US and Canada for all orders over $100. Orders under $100 will accrue a $10 shipping charge.</p>

<p><b>Free Returns on ALL Orders:</b></p>
<p>Exchanges and returns accepted within <strong>30 days</strong> of shipping. Returns are FREE for members. Not a member? <a href=""/user/register"">Sign up now.</a> Add confidence to your purchase by reading our return policy <a href=""/customer-care/exchanges-and-returns"">here</a>.</p>

<p><b>Non US/Canada:</b></p>
<p>Are you outside the US or Canada? We'll be shipping overseas soon, but if there's something that you absolutely must have then please email us at service@modavanti.com and we will be able to ship to you!</p>",Not what you expected? That’s okay! Exchanges and returns accepted within <strong>30 days</strong> of shipping. Click here to read the fine print of our return policy.,,,True,None,None,nettie-kent,1
19,Allison Parris New York,"The eco-friendly and socially conscious Allison Parris New York Collection is built around the idea that “retaining moral values” and “being able to wear beautiful, well made clothing” are not mutually exclusive actions. While keeping a feminine and sophisticated appeal, Allison Parris New York utilizes organic silks, fabrics made of recycled materials and factories within Manhattan in order to create a better clothing experience for their clients. While technology and cost effectiveness have not developed to the point where every aspect of the collection is able to be considered part of the “eco friendly movement,” they are continuously exploring new developments within the field and new ways to implement them. ",Live life in a party dress,False,,,http://www.allisonparris.com/,,"<p><b>FREE Shipping on orders over $100 to the USA and Canada!</b></p>
<p>We offer fast and free shipping anywhere in the US and Canada for all orders over $100. Orders under $100 will accrue a $10 shipping charge.</p>

<p><b>Free Returns on ALL Orders:</b></p>
<p>Exchanges and returns accepted within <strong>30 days</strong> of shipping. Returns are FREE for members. Not a member? <a href=""/user/register"">Sign up now.</a> Add confidence to your purchase by reading our return policy <a href=""/customer-care/exchanges-and-returns"">here</a>.</p>

<p><b>Non US/Canada:</b></p>
<p>Are you outside the US or Canada? We'll be shipping overseas soon, but if there's something that you absolutely must have then please email us at service@modavanti.com and we will be able to ship to you!</p>",Not what you expected? That’s okay! Exchanges and returns accepted within <strong>30 days</strong> of shipping. Click here to read the fine print of our return policy.,http://www.modavantiblog.com/2012/12/05/feathers-fringe-and-frills-an-interview-with-allison-parris-2/,,True,None,None,allison-parris-new-york,1
20,Panda Sunglasses,"Panda Sunglasses was founded by a group of college friends that had gone their separate ways upon graduation. Reunited by an idea to revolutionize the ethical and social impact of sunglasses, they combined their backgrounds, experiences, and passions into one singular mission. Panda was developed to fill a void in conscious capitalism: a trail-blazing fashion accessories company that offered innovative sunglasses, where the individual designs were just as important as the product’s ethical, environmental and social impact.",Environmentally Friendly Handcrafted Bamboo Wood Sunglasses,False,,,http://wearpanda.com/,,"<p><b>FREE Shipping on orders over $100 to the USA and Canada!</b></p>
<p>We offer fast and free shipping anywhere in the US and Canada for all orders over $100. Orders under $100 will accrue a $10 shipping charge.</p>

<p><b>Free Returns on ALL Orders:</b></p>
<p>Exchanges and returns accepted within <strong>30 days</strong> of shipping. Returns are FREE for members. Not a member? <a href=""/user/register"">Sign up now.</a> Add confidence to your purchase by reading our return policy <a href=""/customer-care/exchanges-and-returns"">here</a>.</p>

<p><b>Non US/Canada:</b></p>
<p>Are you outside the US or Canada? We'll be shipping overseas soon, but if there's something that you absolutely must have then please email us at service@modavanti.com and we will be able to ship to you!</p>",Not what you expected? That’s okay! Exchanges and returns accepted within <strong>30 days</strong> of shipping. Click here to read the fine print of our return policy.,,,True,None,None,panda-sunglasses,1
21,Afia,"<p>Born in Oakland, raised by Minnesota, educated by San Francisco, and primed by New York City, founder Meghan Sebold sought to engage popular culture in global development.  While studying in Ghana, Meghan saw how she could bridge cultures and fuse worlds with a fashion product as that physical manifestation. In the coined ”urban indigenous” aesthetic, AFIA fuses the vibrant, traditional textiles of West Africa with American trends. The collections are made with cotton-wax printed in Ghana with a very short lifespan in the marketplace, resulting in forever limited-edition pieces of unique fabric. The colors, patterns, and motifs used in West African textiles are a visual representation of history, proverbs, moral values, and social codes. The garments are sewn by artisans, women’s cooperatives, and a women-run facility in Ghana paid a fair wage for their craft.</p><p>AFIA is a social business built on transparency, mutual respect, and collaboration.</p>",A Fair Trade West African love story,False,,,http://shopafia.com/,,"<p><b>FREE Shipping on orders over $100 to the USA and Canada!</b></p>
<p>We offer fast and free shipping anywhere in the US and Canada for all orders over $100. Orders under $100 will accrue a $10 shipping charge.</p>

<p><b>Free Returns on ALL Orders:</b></p>
<p>Exchanges and returns accepted within <strong>30 days</strong> of shipping. Returns are FREE for members. Not a member? <a href=""/user/register"">Sign up now.</a> Add confidence to your purchase by reading our return policy <a href=""/customer-care/exchanges-and-returns"">here</a>.</p>

<p><b>Non US/Canada:</b></p>
<p>Are you outside the US or Canada? We'll be shipping overseas soon, but if there's something that you absolutely must have then please email us at service@modavanti.com and we will be able to ship to you!</p>",Not what you expected? That’s okay! Exchanges and returns accepted within <strong>30 days</strong> of shipping. Click here to read the fine print of our return policy.,http://www.modavantiblog.com/2012/09/28/afia-urban-indigenous-design/,,True,None,None,afia,1
22,SkinnyJeans,"<p>Does any of this sound familiar? Your jeans are so low your previously non-existent stomach hangs over the waistband and when you sit down we are talking cleavage; your back pockets are half-way down your thighs making your legs appear shorter than they already are and there is so much stuff on your pockets you can never wear the same pair twice because you and everyone else is sick of looking at them; you're convinced that your jeans were designed to be worn exclusively by Kate Moss; the ankles of your jeans are cut so narrow and 'skinny' that your thighs look gargantuan in comparison and your lower leg and foot look like a golf club; your jeans 'grow' so much during the day that you have to wash them every time you wear them to get them back in shape.</p>
<p>It sure sounded familiar to SkinnyJeans and, desperate for a pair of super-slimming blue jeans, they decided to do something about it. So they started SkinnyJeans and tackled every possible way to make blue jeans more slimming and flattering.</p>",All American Team Colors Made in America,False,,modacore/designers/images/DesignerGate-skinnyjeans_1.jpg,http://www.skinnyjeans.com/index.html,,"<p><b>FREE Shipping on orders over $100 to the USA and Canada!</b></p>
<p>We offer fast and free shipping anywhere in the US and Canada for all orders over $100. Orders under $100 will accrue a $10 shipping charge.</p>

<p><b>Free Returns on ALL Orders:</b></p>
<p>Exchanges and returns accepted within <strong>30 days</strong> of shipping. Returns are FREE for members. Not a member? <a href=""/user/register"">Sign up now.</a> Add confidence to your purchase by reading our return policy <a href=""/customer-care/exchanges-and-returns"">here</a>.</p>

<p><b>Non US/Canada:</b></p>
<p>Are you outside the US or Canada? We'll be shipping overseas soon, but if there's something that you absolutely must have then please email us at service@modavanti.com and we will be able to ship to you!</p>",Not what you expected? That’s okay! Exchanges and returns accepted within <strong>30 days</strong> of shipping. Click here to read the fine print of our return policy.,,,True,None,None,skinnyjeans,1
23,Lavuk,"<p>Lavuk's designs blend classic silhouettes with futuristic looks so that styles are timeless but fashion-forward. Lavuk's goal is to create unusual and constructed looks from simple, comfortable materials that appeal to eco-conscious consumers, as well as to those just looking for a great product.</p><p>Lavuk's clothing is sweatshop free and made locally in Los Angeles with sustainable materials such as organic cotton, tencel, hemp and dead stock silks. Their pieces are multi-functional, with subtle details that allow for alternate ways of styling each garment.</p><p>Additionally, for every Lavuk garment you purchase, a tree is planted through American Forests as part of the California Wildfire ReLeaf program.</p>",Sustainable Classic Silhouettes with Futuristic Looks,False,,,http://www.lavuk.com/Lavuk/Collections.html,,"<p><b>FREE Shipping on orders over $100 to the USA and Canada!</b></p>
<p>We offer fast and free shipping anywhere in the US and Canada for all orders over $100. Orders under $100 will accrue a $10 shipping charge.</p>

<p><b>Free Returns on ALL Orders:</b></p>
<p>Exchanges and returns accepted within <strong>30 days</strong> of shipping. Returns are FREE for members. Not a member? <a href=""/user/register"">Sign up now.</a> Add confidence to your purchase by reading our return policy <a href=""/customer-care/exchanges-and-returns"">here</a>.</p>

<p><b>Non US/Canada:</b></p>
<p>Are you outside the US or Canada? We'll be shipping overseas soon, but if there's something that you absolutely must have then please email us at service@modavanti.com and we will be able to ship to you!</p>",Not what you expected? That’s okay! Exchanges and returns accepted within <strong>30 days</strong> of shipping. Click here to read the fine print of our return policy.,,,True,None,None,lavuk,1
24,Westward Leaning,"<p>Westward Leaning makes sunglasses that celebrate human achievement by incorporating unique materials specific to that moment, place and time. Their mission is to inspire and celebrate human achievement with products that are beautiful, meaningful and authentic. Westward Leaning donates $10 from every sale to fund education programs related to the specific achievements their sunglasses celebrate (all their sunglasses are dedicated to a particular social cause).</p>
<p>Without compromising on design or quality, Westward Leaning draws connections to social issues that are subtle and genuine -- they want to make customers feel good by offering the opportunity to express not only their personal style, but their passion for the world around them.</p>","The perfect sunglasses, on a social mission. ",False,"You have to be doing something right to get dozens of celebrities  from Ricky Martin to Emily Blunt to rock your shades. That's a pretty wide spectrum! Since launching in February of 2011 Westward Leanings have taken off and earned a popular following among fashion forward and socially conscious celebrities including Jennifer Lawrence, Charlize Theron, Natalie Portman, and Jessica Alba and many many more.  

So why are Westward Leanings so popular? For the founders of Westward Leaning that message is one of celebrating the triumphs of humanity. Each pair of sunglasses tells a distinct story, promotes a meaningful cause and conveys a message of hope. Westward Leanings are a true American throwback and serve as a reminder of the people and the ideals that made this country great. ""We want to make our customers feel good by offering them the opportunity to express not only their personal style, but their passion for the world around them"" says founder and creative director Robert Denning.

Westward Leanings were born out of a desire to integrate sustainability and elements of our society into fashion in a way that was genuine and real. As Denning jokes ""There aren't many fashions that allow you to incorporate different materials and elements of sustainability. You can't stick concrete on a blouse but you can inlay it on a pair of Westward Leanings. Our glasses incorporate unique materials and the cause they represent.""",,http://westwardleaning.com/,,"<p><b>FREE Shipping on orders over $100 to the USA and Canada!</b></p>
<p>We offer fast and free shipping anywhere in the US and Canada for all orders over $100. Orders under $100 will accrue a $10 shipping charge.</p>

<p><b>Free Returns on ALL Orders:</b></p>
<p>Exchanges and returns accepted within <strong>30 days</strong> of shipping. Returns are FREE for members. Not a member? <a href=""/user/register"">Sign up now.</a> Add confidence to your purchase by reading our return policy <a href=""/customer-care/exchanges-and-returns"">here</a>.</p>

<p><b>Non US/Canada:</b></p>
<p>Are you outside the US or Canada? We'll be shipping overseas soon, but if there's something that you absolutely must have then please email us at service@modavanti.com and we will be able to ship to you!</p>",Not what you expected? That’s okay! Exchanges and returns accepted within <strong>30 days</strong> of shipping. Click here to read the fine print of our return policy.,,,True,None,None,westward-leaning,1
25,Indigo Handloom,"<p>After years as a freelance journalist, founder Smita Paul decided to pursue her interest in handloom full time, creating Indigo Handloom in 2003. Smita formed Indigo Handloom not just to celebrate the beautiful fabrics produced by centuries-old weaving practices, but also the weavers themselves, most of whom struggle to support themselves and their families with a living wage.</p>
<p>Despite a surging Indian economy, weavers, farmers, and other members of the rural poor are faced with worsening economic conditions; indeed, since 2006, government sponsored subsidies for handloom associations (many of which supplied raw materials, micro-loans, and marketing and design assistance) have virtually disappeared, leaving many artisans without the guidance and financial support they need to pass on their talents to the next generation.</p>
<p>Indigo Handloom's feel-good-fabrics are all handmade by weavers, practicing their traditional craft in villages across South Asia. They select their weavers carefully to ensure that everything they sell is imbued with integrity and artistry. Through their work, they help sustain their weaver's environment and family-oriented way of life.</p>",Handmade Scarves that Celebrate the Ancient Craft of Handloom,False,,,http://indigohandloom.com/,,"<p><b>FREE Shipping on orders over $100 to the USA and Canada!</b></p>
<p>We offer fast and free shipping anywhere in the US and Canada for all orders over $100. Orders under $100 will accrue a $10 shipping charge.</p>

<p><b>Free Returns on ALL Orders:</b></p>
<p>Exchanges and returns accepted within <strong>30 days</strong> of shipping. Returns are FREE for members. Not a member? <a href=""/user/register"">Sign up now.</a> Add confidence to your purchase by reading our return policy <a href=""/customer-care/exchanges-and-returns"">here</a>.</p>

<p><b>Non US/Canada:</b></p>
<p>Are you outside the US or Canada? We'll be shipping overseas soon, but if there's something that you absolutely must have then please email us at service@modavanti.com and we will be able to ship to you!</p>",Not what you expected? That’s okay! Exchanges and returns accepted within <strong>30 days</strong> of shipping. Click here to read the fine print of our return policy.,http://www.modavantiblog.com/2013/02/10/modavanti-featured-designer-indigo-handloom-thread-by-thread-creating-ethical-accessories-and-apparel-for-the-luxury-marketplace/,,True,None,None,indigo-handloom,1
26,Kristinit,"Kristina Lenss founded Kristinit [kri-stee-<strong>neet</strong>] in 2006 to offer fresh and sophisticated fashion for the elegant and eco-conscious woman.  Taking inspiration from nature, art and history, Kristina approaches design with more than just style in mind: she uses innovative and organic fabrics, local manufacturing, fair trade practices and donates 5% of all sales towards charities supporting animals and the environment.  This follows the Kristinit philosophy that true beauty must be beautiful from start to finish. ",Fresh and Sophisticated Fashion for the Eco-Conscious Woman,False,,,http://www.kristinit.com/,,"<p><b>FREE Shipping on orders over $100 to the USA and Canada!</b></p>
<p>We offer fast and free shipping anywhere in the US and Canada for all orders over $100. Orders under $100 will accrue a $10 shipping charge.</p>

<p><b>Free Returns on ALL Orders:</b></p>
<p>Exchanges and returns accepted within <strong>30 days</strong> of shipping. Returns are FREE for members. Not a member? <a href=""/user/register"">Sign up now.</a> Add confidence to your purchase by reading our return policy <a href=""/customer-care/exchanges-and-returns"">here</a>.</p>

<p><b>Non US/Canada:</b></p>
<p>Are you outside the US or Canada? We'll be shipping overseas soon, but if there's something that you absolutely must have then please email us at service@modavanti.com and we will be able to ship to you!</p>",Not what you expected? That’s okay! Exchanges and returns accepted within <strong>30 days</strong> of shipping. Click here to read the fine print of our return policy.,,,True,None,None,kristinit,1
27,Ten & Co.,"Ten & Co. designer Tory Noll stumbled upon a tiny shoe shop in Marrakech and on a whim had a simple oxford made with a couple scraps of rug.  When her friends (and people on the street) wanted their own, she decided to go back Morocco and make a few more.  Since then, we have created several limited edition runs, ranging from earthy oranges and tan suedes to hot pink with patent leather detailing.  Since each style is made from one rug or woven blanket, every shoe is unique and bears the beauty and idiosyncrasies of the many hands that made it.  Tory is committed to simple, functional design and supporting the skilled craftsmen who make her shoes.  Above all, Ten & Co. aims to create beautiful, wearable footwear that creates a new narrative of classic design.  ","Shoes Steeped in History, Made with Care, Designer with Love",False,,,http://www.ten-and-co.com/,,"<p><b>FREE Shipping on orders over $100 to the USA and Canada!</b></p>
<p>We offer fast and free shipping anywhere in the US and Canada for all orders over $100. Orders under $100 will accrue a $10 shipping charge.</p>

<p><b>Free Returns on ALL Orders:</b></p>
<p>Exchanges and returns accepted within <strong>30 days</strong> of shipping. Returns are FREE for members. Not a member? <a href=""/user/register"">Sign up now.</a> Add confidence to your purchase by reading our return policy <a href=""/customer-care/exchanges-and-returns"">here</a>.</p>

<p><b>Non US/Canada:</b></p>
<p>Are you outside the US or Canada? We'll be shipping overseas soon, but if there's something that you absolutely must have then please email us at service@modavanti.com and we will be able to ship to you!</p>",Not what you expected? That’s okay! Exchanges and returns accepted within <strong>30 days</strong> of shipping. Click here to read the fine print of our return policy.,,,True,None,None,ten-co,1
